batch,hit,miss,rate
496, 35,15,70.00
497, 43,7,86.00
498, 32,18,64.00
499, 36,14,72.00
500, 33,17,66.00
501, 32,18,64.00
502, 35,15,70.00
503, 37,13,74.00
504, 37,13,74.00
505, 35,15,70.00
506, 36,14,72.00
507, 44,6,88.00
508, 32,18,64.00
509, 38,12,76.00
510, 33,17,66.00
511, 33,17,66.00
512, 36,14,72.00
513, 39,11,78.00
514, 35,15,70.00
515, 31,19,62.00
516, 33,17,66.00
517, 33,17,66.00
518, 40,10,80.00
519, 31,19,62.00
520, 40,10,80.00
521, 31,19,62.00
522, 38,12,76.00
523, 35,15,70.00
524, 33,17,66.00
525, 28,22,56.00
526, 31,19,62.00
527, 37,13,74.00
528, 34,16,68.00
529, 37,13,74.00
530, 41,9,82.00
531, 32,18,64.00
532, 40,10,80.00
533, 31,19,62.00
534, 34,16,68.00
535, 28,22,56.00
536, 40,10,80.00
537, 36,14,72.00
538, 36,14,72.00
539, 36,14,72.00
540, 33,17,66.00
541, 33,17,66.00
542, 37,13,74.00
543, 31,19,62.00
544, 43,7,86.00
545, 36,14,72.00
546, 33,17,66.00
547, 30,20,60.00
548, 41,9,82.00
549, 34,16,68.00
550, 33,17,66.00
551, 37,13,74.00
552, 37,13,74.00
553, 34,16,68.00
554, 40,10,80.00
555, 35,15,70.00
556, 33,17,66.00
557, 32,18,64.00
558, 34,16,68.00
559, 38,12,76.00
560, 36,14,72.00
561, 35,15,70.00
562, 39,11,78.00
563, 35,15,70.00
564, 37,13,74.00
565, 33,17,66.00
566, 34,16,68.00
567, 39,11,78.00
568, 37,13,74.00
569, 35,15,70.00
570, 41,9,82.00
571, 37,13,74.00
572, 31,19,62.00
573, 38,12,76.00
574, 36,14,72.00
575, 36,14,72.00
576, 36,14,72.00
577, 36,14,72.00
578, 36,14,72.00
579, 37,13,74.00
580, 34,16,68.00
581, 30,20,60.00
582, 30,20,60.00
583, 36,14,72.00
584, 36,14,72.00
585, 37,13,74.00
586, 38,12,76.00
587, 38,12,76.00
588, 27,23,54.00
589, 33,17,66.00
590, 36,14,72.00
591, 37,13,74.00
592, 39,11,78.00
593, 34,16,68.00
594, 39,11,78.00
595, 33,17,66.00
596, 39,11,78.00
597, 31,19,62.00
598, 30,20,60.00
599, 38,12,76.00
600, 35,15,70.00
601, 34,16,68.00
602, 34,16,68.00
603, 31,19,62.00
604, 40,10,80.00
605, 34,16,68.00
606, 36,14,72.00
607, 30,20,60.00
608, 33,17,66.00
609, 31,19,62.00
610, 33,17,66.00
611, 35,15,70.00
612, 35,15,70.00
613, 36,14,72.00
614, 32,18,64.00
615, 41,9,82.00
616, 36,14,72.00
617, 28,22,56.00
618, 34,16,68.00
619, 34,16,68.00
620, 34,16,68.00
621, 34,16,68.00
622, 34,16,68.00
623, 34,16,68.00
624, 33,17,66.00
625, 33,17,66.00
626, 38,12,76.00
627, 36,14,72.00
628, 42,8,84.00
629, 35,15,70.00
630, 36,14,72.00
631, 34,16,68.00
632, 38,12,76.00
633, 42,8,84.00
634, 30,20,60.00
635, 43,7,86.00
636, 39,11,78.00
637, 31,19,62.00
638, 32,18,64.00
639, 38,12,76.00
640, 36,14,72.00
641, 41,9,82.00
642, 36,14,72.00
643, 38,12,76.00
644, 35,15,70.00
645, 33,17,66.00
646, 35,15,70.00
647, 37,13,74.00
648, 30,20,60.00
649, 34,16,68.00
650, 37,13,74.00
651, 31,19,62.00
652, 29,21,58.00
653, 35,15,70.00
654, 34,16,68.00
655, 34,16,68.00
656, 36,14,72.00
657, 28,22,56.00
658, 32,18,64.00
659, 35,15,70.00
660, 36,14,72.00
661, 36,14,72.00
662, 35,15,70.00
663, 32,18,64.00
664, 36,14,72.00
665, 32,18,64.00
666, 30,20,60.00
667, 38,12,76.00
668, 35,15,70.00
669, 37,13,74.00
670, 34,16,68.00
671, 36,14,72.00
672, 31,19,62.00
673, 34,16,68.00
674, 34,16,68.00
675, 31,19,62.00
676, 38,12,76.00
677, 39,11,78.00
678, 36,14,72.00
679, 36,14,72.00
680, 36,14,72.00
681, 33,17,66.00
682, 37,13,74.00
683, 35,15,70.00
684, 37,13,74.00
685, 35,15,70.00
686, 31,19,62.00
687, 38,12,76.00
688, 33,17,66.00
689, 38,12,76.00
690, 34,16,68.00
691, 34,16,68.00
692, 37,13,74.00
693, 35,15,70.00
694, 37,13,74.00
695, 37,13,74.00
696, 40,10,80.00
697, 36,14,72.00
698, 35,15,70.00
699, 33,17,66.00
700, 29,21,58.00
701, 31,19,62.00
702, 39,11,78.00
703, 33,17,66.00
704, 36,14,72.00
705, 36,14,72.00
706, 34,16,68.00
707, 29,21,58.00
708, 36,14,72.00
709, 31,19,62.00
710, 35,15,70.00
711, 38,12,76.00
712, 33,17,66.00
713, 37,13,74.00
714, 32,18,64.00
715, 34,16,68.00
716, 32,18,64.00
717, 38,12,76.00
718, 36,14,72.00
719, 38,12,76.00
720, 41,9,82.00
721, 38,12,76.00
722, 39,11,78.00
723, 36,14,72.00
724, 30,20,60.00
725, 31,19,62.00
726, 36,14,72.00
727, 39,11,78.00
728, 37,13,74.00
729, 39,11,78.00
730, 38,12,76.00
731, 34,16,68.00
732, 38,12,76.00
733, 37,13,74.00
734, 31,19,62.00
735, 36,14,72.00
736, 32,18,64.00
737, 33,17,66.00
738, 41,9,82.00
739, 32,18,64.00
740, 35,15,70.00
741, 34,16,68.00
742, 39,11,78.00
743, 35,15,70.00
744, 33,17,66.00
745, 37,13,74.00
746, 35,15,70.00
747, 35,15,70.00
748, 33,17,66.00
749, 37,13,74.00
750, 37,13,74.00
751, 35,15,70.00
752, 34,16,68.00
753, 39,11,78.00
754, 38,12,76.00
755, 37,13,74.00
756, 38,12,76.00
757, 35,15,70.00
758, 37,13,74.00
759, 34,16,68.00
760, 29,21,58.00
761, 40,10,80.00
762, 32,18,64.00
763, 37,13,74.00
764, 37,13,74.00
765, 34,16,68.00
766, 37,13,74.00
767, 31,19,62.00
768, 34,16,68.00
769, 36,14,72.00
770, 34,16,68.00
771, 36,14,72.00
772, 35,15,70.00
773, 31,19,62.00
774, 35,15,70.00
775, 36,14,72.00
776, 39,11,78.00
777, 33,17,66.00
778, 33,17,66.00
779, 41,9,82.00
780, 32,18,64.00
781, 31,19,62.00
782, 35,15,70.00
783, 39,11,78.00
784, 34,16,68.00
785, 35,15,70.00
786, 41,9,82.00
787, 33,17,66.00
788, 37,13,74.00
789, 28,22,56.00
790, 35,15,70.00
791, 34,16,68.00
792, 39,11,78.00
793, 38,12,76.00
794, 33,17,66.00
795, 31,19,62.00
796, 38,12,76.00
797, 37,13,74.00
798, 28,22,56.00
799, 37,13,74.00
800, 39,11,78.00
801, 40,10,80.00
802, 39,11,78.00
803, 35,15,70.00
804, 36,14,72.00
805, 32,18,64.00
806, 29,21,58.00
807, 33,17,66.00
808, 32,18,64.00
809, 38,12,76.00
810, 35,15,70.00
811, 30,20,60.00
812, 39,11,78.00
813, 39,11,78.00
814, 30,20,60.00
815, 33,17,66.00
816, 32,18,64.00
817, 29,21,58.00
818, 37,13,74.00
819, 32,18,64.00
820, 38,12,76.00
821, 37,13,74.00
822, 38,12,76.00
823, 31,19,62.00
824, 33,17,66.00
825, 28,22,56.00
826, 30,20,60.00
827, 35,15,70.00
828, 31,19,62.00
829, 35,15,70.00
830, 35,15,70.00
831, 37,13,74.00
832, 31,19,62.00
833, 33,17,66.00
834, 29,21,58.00
835, 34,16,68.00
836, 35,15,70.00
837, 39,11,78.00
838, 31,19,62.00
839, 36,14,72.00
840, 35,15,70.00
841, 33,17,66.00
842, 39,11,78.00
843, 36,14,72.00
844, 35,15,70.00
845, 38,12,76.00
846, 34,16,68.00
847, 34,16,68.00
848, 33,17,66.00
849, 34,16,68.00
850, 37,13,74.00
851, 32,18,64.00
852, 38,12,76.00
853, 31,19,62.00
854, 30,20,60.00
855, 36,14,72.00
856, 33,17,66.00
857, 33,17,66.00
858, 33,17,66.00
859, 32,18,64.00
860, 28,22,56.00
861, 34,16,68.00
862, 39,11,78.00
863, 40,10,80.00
864, 32,18,64.00
865, 33,17,66.00
866, 40,10,80.00
867, 37,13,74.00
868, 30,20,60.00
869, 35,15,70.00
870, 34,16,68.00
871, 38,12,76.00
872, 38,12,76.00
873, 34,16,68.00
874, 36,14,72.00
875, 30,20,60.00
876, 33,17,66.00
877, 36,14,72.00
878, 34,16,68.00
879, 34,16,68.00
880, 35,15,70.00
881, 40,10,80.00
882, 33,17,66.00
883, 37,13,74.00
884, 35,15,70.00
885, 32,18,64.00
886, 33,17,66.00
