batch,hit,miss,rate
446, 44,6,88.00
447, 47,3,94.00
448, 48,2,96.00
449, 44,6,88.00
450, 45,5,90.00
451, 48,2,96.00
452, 42,8,84.00
453, 44,6,88.00
454, 46,4,92.00
455, 46,4,92.00
456, 43,7,86.00
457, 43,7,86.00
458, 46,4,92.00
459, 44,6,88.00
460, 42,8,84.00
461, 44,6,88.00
462, 43,7,86.00
463, 42,8,84.00
464, 43,7,86.00
465, 40,10,80.00
466, 48,2,96.00
467, 48,2,96.00
468, 45,5,90.00
469, 49,1,98.00
470, 46,4,92.00
471, 45,5,90.00
472, 50,0,100.00
473, 46,4,92.00
474, 42,8,84.00
475, 42,8,84.00
476, 47,3,94.00
477, 46,4,92.00
478, 45,5,90.00
479, 43,7,86.00
480, 42,8,84.00
481, 48,2,96.00
482, 41,9,82.00
483, 43,7,86.00
484, 46,4,92.00
485, 47,3,94.00
486, 47,3,94.00
487, 47,3,94.00
488, 44,6,88.00
489, 41,9,82.00
490, 44,6,88.00
491, 46,4,92.00
492, 47,3,94.00
493, 44,6,88.00
494, 47,3,94.00
495, 47,3,94.00
496, 46,4,92.00
497, 48,2,96.00
498, 43,7,86.00
499, 45,5,90.00
500, 43,7,86.00
501, 48,2,96.00
502, 46,4,92.00
503, 45,5,90.00
504, 46,4,92.00
505, 44,6,88.00
506, 44,6,88.00
507, 48,2,96.00
508, 49,1,98.00
509, 43,7,86.00
510, 45,5,90.00
511, 45,5,90.00
512, 47,3,94.00
513, 49,1,98.00
514, 47,3,94.00
515, 45,5,90.00
516, 45,5,90.00
517, 45,5,90.00
518, 47,3,94.00
519, 42,8,84.00
520, 47,3,94.00
521, 44,6,88.00
522, 48,2,96.00
523, 46,4,92.00
524, 45,5,90.00
525, 47,3,94.00
526, 47,3,94.00
527, 46,4,92.00
528, 46,4,92.00
529, 44,6,88.00
530, 47,3,94.00
531, 45,5,90.00
532, 47,3,94.00
533, 42,8,84.00
534, 41,9,82.00
535, 41,9,82.00
536, 45,5,90.00
537, 42,8,84.00
538, 41,9,82.00
539, 44,6,88.00
540, 44,6,88.00
541, 42,8,84.00
542, 45,5,90.00
543, 46,4,92.00
544, 47,3,94.00
545, 45,5,90.00
546, 43,7,86.00
547, 44,6,88.00
548, 46,4,92.00
549, 45,5,90.00
550, 44,6,88.00
551, 46,4,92.00
552, 42,8,84.00
553, 45,5,90.00
554, 46,4,92.00
555, 45,5,90.00
556, 45,5,90.00
557, 42,8,84.00
558, 44,6,88.00
559, 46,4,92.00
560, 45,5,90.00
561, 44,6,88.00
562, 48,2,96.00
563, 42,8,84.00
564, 44,6,88.00
565, 45,5,90.00
566, 47,3,94.00
567, 47,3,94.00
